Player Name,Team-name,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Chadi Riad,Barcelona,19,DEFENDER,0(1),1,0,0,0,0,,100,,0,6.0
Diego Méndez,Rayo Vallecano,19,MIDFIELDER,0(1),1,0,0,0,0,,50,1.0,0,6.0
Esteban Saveljich,Rayo Vallecano,31,D(C),0(1),1,0,0,0,0,,-,,0,6.0
Pedro Ortiz,Sevilla,22,MIDFIELDER,0(1),1,0,0,0,0,,100,,0,6.0
Williot Swedberg,Celta Vigo,19,MIDFIELDER,0(2),34,0,0,1,0,,91.7,,0,6.0
Domingos Quina,Elche,23,M(CL),2(8),269,0,0,1,1,0.6,85.3,,0,5.99
Diego López,Valencia,20,FORWARD,0(1),9,0,0,0,0,,100,,0,5.99
Marko Milovanovic,Almeria,19,FORWARD,0(2),14,0,0,1,0,0.5,44.4,2.5,0,5.99
Awer Mabil,Cadiz,27,AM(LR) FW,1(4),163,0,0,0,0,0.6,72.7,0.2,0,5.99
Kenedy,Real Valladolid,27,D(L) M(LR),1(3),81,0,0,1,0,0.3,68.2,0.3,0,5.99
Jaime Mata,Getafe,34,FW,1(9),43,0,0,3,0,0.1,72.2,0.2,0,5.98
Fernando Niño,Villarreal,22,FW,0(3),19,0,0,0,0,0.3,100,,0,5.96
Alejandro Alfaro,Elche,20,MIDFIELDER,0(1),14,0,0,0,0,,100,,0,5.95
Selim Amallah,Real Valladolid,26,AM(CL) FW,0(2),55,0,0,0,1,0.5,73.9,1.0,0,5.95
Youba Diarra,Cadiz,24,MIDFIELDER,0(3),39,0,0,1,0,,84.2,,0,5.94
Javier Pastore,Elche,33,AM(CLR),0(1),4,0,0,0,0,,85.7,,0,5.94
Mario Hernández,Rayo Vallecano,24,DEFENDER,0(2),38,0,0,0,0,1.0,77.8,,0,5.94
Iván Romero,Sevilla,21,FORWARD,0(1),10,0,0,1,0,,33.3,1.0,0,5.92
Sergio Reguilón,Atletico,26,D(L) M(L),0(4),85,0,0,0,1,,85.1,0.8,0,5.92
Roger Martínez,Espanyol,18,MIDFIELDER,0(1),6,0,0,0,0,1.0,100,,0,5.91
Pape Cheikh,Elche,25,DMC,1(1),33,0,0,0,1,,61.5,,0,5.89
Carlos Álvarez,Sevilla,19,MIDFIELDER,0(1),9,0,0,1,0,,100,,0,5.89
Tomás Alarcón,Cadiz,24,DMC,2(2),222,0,0,0,1,0.5,84.3,0.8,0,5.82
Álvaro Giménez,Cadiz,31,FW,0(1),16,0,0,0,0,,100,,0,5.82
John Donald,Elche,22,D(C),2(1),151,0,0,0,1,,87.5,0.7,0,5.71
Diego López,Rayo Vallecano,41,GK,1,90,0,0,0,0,,70.8,,0,4.63
